id,run_id,ifos,gps_start,gps_end,status,error,created_at
1,1,"H1,L1",1420881408.0,1420881920.0,processing,,1774534170.5445876
2,1,"H1,L1",1420881408.0,1420881920.0,done,,1774534171.2127857
3,1,"H1,L1",1420880896.0,1420881408.0,processing,,1774534171.2140205
4,1,"H1,L1",1420880896.0,1420881408.0,done,,1774534171.8456624
5,1,"H1,L1",1420880384.0,1420880896.0,processing,,1774534171.8715131
6,1,"H1,L1",1420880384.0,1420880896.0,done,,1774534172.5076845
7,1,"H1,L1",1420879872.0,1420880384.0,processing,,1774534172.5400634
8,1,"H1,L1",1420879872.0,1420880384.0,done,,1774534173.2082844
9,1,"H1,L1",1420879360.0,1420879872.0,processing,,1774534173.2390742
10,1,"H1,L1",1420879360.0,1420879872.0,done,,1774534174.0324907
11,1,"H1,L1",1420878848.0,1420879360.0,processing,,1774534174.0529277
12,1,"H1,L1",1420878848.0,1420879360.0,done,,1774534952.061049
13,1,"H1,L1",1420878336.0,1420878848.0,processing,,1774534952.0926278
14,1,"H1,L1",1420878336.0,1420878848.0,done,,1774535411.2587922
15,1,"H1,L1",1420877824.0,1420878336.0,processing,,1774535411.277355
16,1,"H1,L1",1420877824.0,1420878336.0,done,,1774535711.9936848
17,1,"H1,L1",1420877312.0,1420877824.0,gap,No GWOSC URLs found for H1 1420877312.0-1420877824.0,1774535716.8793995
18,1,"H1,L1",1415278080.0,1415278592.0,processing,,1774535872.888549
19,1,"H1,L1",1415278080.0,1415278592.0,done,,1774536297.8087554
20,1,"H1,L1",1415277568.0,1415278080.0,processing,,1774536297.8342986
21,1,"H1,L1",1415277568.0,1415278080.0,done,,1774536743.233124
22,1,"H1,L1",1415277056.0,1415277568.0,processing,,1774536743.26847
23,1,"H1,L1",1415277056.0,1415277568.0,done,,1774537160.309364
24,1,"H1,L1",1415276544.0,1415277056.0,processing,,1774537160.3249924
25,1,"H1,L1",1415276544.0,1415277056.0,done,,1774537630.515227
26,1,"H1,L1",1415276032.0,1415276544.0,processing,,1774537630.5232935
27,1,"H1,L1",1415276032.0,1415276544.0,done,,1774538180.4571235
28,1,"H1,L1",1415275520.0,1415276032.0,processing,,1774538180.4887824
29,1,"H1,L1",1415275520.0,1415276032.0,done,,1774538583.0761015
30,1,"H1,L1",1415275008.0,1415275520.0,processing,,1774538583.1052468
31,1,"H1,L1",1415275008.0,1415275520.0,done,,1774538879.7309701
32,1,"H1,L1",1415274496.0,1415275008.0,processing,,1774538879.756739
33,1,"H1,L1",1415274496.0,1415275008.0,done,,1774539464.3745651
34,1,"H1,L1",1415273984.0,1415274496.0,gap,No GWOSC URLs found for H1 1415273984.0-1415274496.0,1774539469.2164242
35,1,"H1,L1",1415273472.0,1415273984.0,gap,No GWOSC URLs found for H1 1415273472.0-1415273984.0,1774539475.251447
